exp_full_cs1024_co102|10888|18897
exp_full_cs1024_co154|10888|19133
exp_full_cs1024_co205|10888|19374
exp_full_cs1024_co256|10888|19705
exp_full_cs128_co13|10888|94194
exp_full_cs128_co19|10888|98081
exp_full_cs128_co26|10888|103006
exp_full_cs128_co32|10888|107875
exp_full_cs256_co26|10888|52154
exp_full_cs256_co38|10888|53912
exp_full_cs256_co51|10888|56014
exp_full_cs256_co64|10888|58256
exp_full_cs512_co102|10888|30667
exp_full_cs512_co128|10888|31610
exp_full_cs512_co51|10888|29114
exp_full_cs512_co77|10888|29877
exp_full_cs768_co115|10888|24523
exp_full_cs768_co154|10888|24991
exp_full_cs768_co192|10888|25524
exp_full_cs768_co77|10888|24146
